fips,exp_police_pc,officers_pc,rev_prop_tax_pc,violent.crime.high,segregation.bw.high,segregation.lw.high
22055,302.13,49.44,488.02,TRUE,FALSE,FALSE
22057,290.57,90.85,518.92,FALSE,FALSE,FALSE
22063,155.36,21.95,238.47,FALSE,TRUE,FALSE
22071,416.18,128.83,742.69,TRUE,TRUE,FALSE
22079,355.24,88.44,358.59,TRUE,TRUE,FALSE
22087,324.73,428.66,328.36,TRUE,TRUE,FALSE
22089,382.42,552.1,1191.69,TRUE,TRUE,FALSE
22095,295.15,341.78,680.5,TRUE,TRUE,FALSE
22099,246.14,51.33,352.43,TRUE,FALSE,FALSE
22109,267.27,167.11,536.99,TRUE,FALSE,FALSE
22121,463.84,213.85,727.18,TRUE,TRUE,FALSE
23001,141.06,24.21,1239.53,FALSE,TRUE,FALSE
23031,185.07,10.28,1227.99,FALSE,FALSE,FALSE
24001,135.48,30.8,859.95,TRUE,TRUE,FALSE
24003,229.56,51.43,1294.65,TRUE,TRUE,FALSE
24005,277.6,73.49,1141.33,TRUE,TRUE,FALSE
24009,186.33,121.51,1850.79,TRUE,TRUE,TRUE
24013,147.2,12.53,1474.63,FALSE,TRUE,FALSE
24015,199.74,25.49,1254.29,TRUE,FALSE,TRUE
24021,244.39,34.09,1633.27,TRUE,FALSE,TRUE
24025,284.26,38.93,1426.24,FALSE,TRUE,FALSE
24027,300.67,137.46,2051.28,TRUE,TRUE,FALSE
24031,309.71,31.63,2183.08,FALSE,FALSE,TRUE
24033,301.32,9.52,1392.69,FALSE,TRUE,TRUE
24039,188.54,48.91,819.8,FALSE,FALSE,FALSE
24045,247.01,26.2,915.34,TRUE,FALSE,FALSE
24510,664.11,80.74,1365.19,TRUE,TRUE,FALSE
25011,138.46,11.64,1998.39,FALSE,TRUE,TRUE
25013,221.47,15.76,1635.69,FALSE,TRUE,TRUE
25015,219.19,13.13,1573.51,FALSE,TRUE,TRUE
25017,205.61,3.3,2596.97,FALSE,FALSE,TRUE
25021,215.21,6.85,2617.8,FALSE,TRUE,TRUE
25025,484.19,41.32,2628.82,TRUE,TRUE,TRUE
25027,181.61,3.22,1769.61,FALSE,FALSE,TRUE
26015,98.51,17.53,399.72,FALSE,TRUE,TRUE
26045,159.43,19.42,465.24,FALSE,TRUE,FALSE
26115,137.31,15.93,544.96,FALSE,FALSE,FALSE
26163,418.72,6.57,790.81,FALSE,TRUE,TRUE
27003,218.14,11.62,859.51,FALSE,FALSE,TRUE
27025,184.06,32.85,911.46,FALSE,FALSE,TRUE
27037,234.78,10.65,860.28,FALSE,FALSE,TRUE
27053,362.37,5.9,1342.91,FALSE,FALSE,TRUE
27109,242.29,61.62,951.75,TRUE,FALSE,FALSE
28029,180.46,45.17,409.25,FALSE,TRUE,TRUE
28033,247.14,42.06,653.12,TRUE,TRUE,TRUE
28035,220.39,108.56,659.5,TRUE,FALSE,FALSE
28045,187.21,79.66,520.68,TRUE,FALSE,FALSE
28047,325.39,47.14,621.94,TRUE,FALSE,FALSE
28049,232.01,50.66,606.69,TRUE,TRUE,TRUE
28073,166.1,53.67,458.37,FALSE,FALSE,FALSE
28089,228.15,59.6,648.09,FALSE,TRUE,TRUE
28093,155.14,42.05,448.86,TRUE,TRUE,TRUE
